"","treatment","age","sex","ethnicityAsian","num_completed","accuracy"
"173",1,28,"Male",0,5,0.8
"174",1,29,"Female",0,2,1
"175",1,32,"Female",0,4,1
"176",1,28,"Male",0,3,0.333333333333333
"177",1,25,"Female",0,4,0.75
"178",1,41,"Female",0,3,0.666666666666667
"179",1,36,"Female",0,5,0.6
"180",1,24,"Female",0,2,1
"181",1,26,"Female",0,3,1
"182",1,76,"Male",0,4,0.5
"183",1,23,"Female",1,3,0.666666666666667
"184",1,21,"Male",0,4,0
"185",1,27,"Female",0,2,0.5
"186",1,23,"Female",0,4,1
"187",1,71,"Male",0,3,0.666666666666667
"188",1,38,"Female",0,4,0.5
"189",1,52,"Male",0,2,0.5
"190",1,23,"Female",1,3,1
"191",1,36,"Female",1,4,1
"192",1,64,"Female",0,5,0.4
"193",1,55,"Female",0,5,0.8
"194",1,73,"Male",0,3,1
"195",1,26,"Male",0,3,1
"196",1,51,"Female",0,4,1
"197",1,25,"Male",0,4,1
"198",1,34,"Female",0,5,0.4
"199",1,43,"Male",0,2,0.5
"200",1,32,"Female",0,2,0.5
"201",1,29,"Female",0,4,0.75
"202",1,27,"Female",0,4,1
"203",1,41,"Female",0,4,1
"204",1,27,"Female",0,5,0.8
"205",1,25,"Male",0,4,1
"206",1,20,"Female",0,4,1
"207",1,43,"Female",0,3,0.666666666666667
"208",1,21,"Female",0,2,1
"209",1,28,"Female",1,4,1
"210",1,24,"Male",1,4,0.75
"211",1,24,"Female",0,4,1
"212",1,23,"Male",0,3,1
"213",1,25,"Male",1,4,1
"214",1,40,"Male",0,4,1
"215",1,32,"Female",0,0,0
"216",1,18,"Prefer not to say",0,4,1
"217",1,46,"Male",1,2,1
"218",1,29,"Female",0,3,1
"219",1,48,"Male",0,4,1
"220",1,34,"Female",0,3,1
"221",1,22,"Female",0,2,0.5
"222",1,35,"Female",0,5,0.8
"223",1,31,"Male",0,2,0.5
"224",1,39,"Male",0,4,1
"225",1,29,"Male",0,3,1
"226",1,71,"Female",0,2,1
"227",1,54,"Male",0,1,1
"228",1,37,"Male",0,2,0.5
"229",1,48,"Female",0,3,1
"230",1,24,"Female",0,2,1
"231",1,26,"Male",0,1,1
"232",1,25,"Female",1,2,0
"233",1,35,"Male",0,2,0.5
"234",1,26,"Female",0,4,1
"235",1,27,"Female",0,4,1
"236",1,38,"Male",0,0,0
"237",1,64,"Female",0,2,1
"238",1,23,"Female",0,5,0.8
"239",1,31,"Female",0,2,1
"240",1,26,"Female",0,5,0.4
"241",1,23,"Female",0,4,1
"242",1,72,"Female",0,5,0.2
"243",1,22,"NaN",0,1,1
"244",1,23,"Female",0,5,0.4
"245",1,24,"Male",0,4,0.75
"246",1,44,"Female",0,3,0.666666666666667
"247",1,36,"Male",0,5,0.8
