PROLIFIC_PID,treatment,age,sex,ethnicity,score,num_completed
5ec34daa8236521a70e0a4d7,0,29,Female,Black,3,4
5fbfd130b6d531364fba8ed6,0,32,Male,White,0,0
5b9b4cc406114100010660f0,0,30,Male,White,1,5
60811b4642883c028c8b2663,0,52,Female,White,4,4
5e3dec90ce522506a9045e17,0,48,Male,Asian,3,3
63654b4f395f847a8a5ee6fd,0,23,Male,White,4,5
5ddae85b393bd3a44d7cbaaa,0,41,Female,Other,1,1
5dc11777a4b6ac097d0d5ca5,0,25,Female,White,4,4
59ac5e9f9fdf6c0001cba8bf,0,29,Male,Black,4,5
5de90d6405263f000a4ed586,0,39,Male,White,2,3
60db15cf0e54e22740b0f7e0,0,33,Male,White,4,4
612e9fb57400639a88cfae33,0,27,Female,White,1,3
615009a911243c691332e533,0,40,Male,White,3,3
5ae7f99bd5ec5e000175f097,0,39,Male,White,4,4
5ea497072b246644ea12dc12,0,24,Female,White,3,4
5d597b6debafee0001a82b53,0,27,Male,Other,2,4
634b675e52c216918a02f17e,0,38,Prefer not to say,White,3,3
62dc6fd89dd8473b3671357e,0,22,Male,Asian,2,5
5e115f20265c8081ee355f6a,0,24,Female,White,1,1
63054a56b19cba4812302ad6,0,31,Female,White,1,3
5731410e070de6000842cf61,0,40,Female,DATA_EXPIRED,4,4
60e269b58d238fbba93aed38,0,19,Male,White,1,1
62e02660c3ef175825ab7655,0,31,Female,White,3,5
60ff51b4acefc371032f1acc,0,32,Female,White,3,4
636168a962acef1f1f1cc4ce,0,37,Female,Asian,4,5
5dd34f284b0e0c362eb11615,0,47,Male,DATA_EXPIRED,0,5
5f3aff819bf5ad209a13d568,0,27,Female,Black,3,3
5ee653288976fc3af8448ae6,0,57,Female,White,2,2
5e72e0d8adc903240ac70891,0,58,Female,White,1,4
6348e29c02ebee2f7dddac34,0,55,Male,White,3,5
5d58d7d6280de7001aa7952a,0,38,Female,Mixed,2,5
62dfdd3c61b792d28de9d0e3,0,29,Male,White,3,3
5c06b3f64a2b7b0001c3c185,0,37,Female,Mixed,4,4
5f1c72e25a26d503c77bfdc9,0,41,Male,White,4,5
6286c2dfba83b26f3e8f7bb5,0,25,Male,White,4,4
60b9bb59251f1f055eddce4b,0,30,Female,White,3,4
6152152ee63e3fcd81cc961f,0,67,Male,White,3,3
611b1f8d65d3749d42e746c2,0,57,Female,White,1,1
60de9c66c01a9de405e9efb0,0,63,Male,White,2,4
60838e2e91a6300001f9ac89,0,41,Female,White,3,3
62bdeca4922726b49ec42dc3,0,40,Male,White,0,0
60fb383e30537b88f361934e,0,47,Male,White,2,3
5f24c317ec176c0e528d07c5,0,33,Male,Asian,2,3
5ec6d423fc10270f0bbbc90e,0,36,Female,White,1,3
6100372e3a116cb5cb36ebea,0,77,Male,White,5,5
6135752aa4ee5158b0708670,0,32,Male,White,5,5
57ce74a271536c00015f12ed,0,27,Female,White,0,5
630ab58fb3a4751f829426a9,1,29,Female,White,3,3
63013c49503d78acafd6c185,1,25,Male,Black,0,3
60fdd3142e436fde17e4f8c0,1,27,Female,Black,1,1
6340c232c8974119146b504c,1,24,Male,White,2,3
5fe904bfeed16d83193f03a6,1,DATA_EXPIRED,Female,DATA_EXPIRED,3,5
5e8ea833d4e24915d6880320,1,30,Male,White,5,5
5699cf0625d9e9000db0c789,1,59,Female,White,4,4
5e9df26707933e1720927fee,1,41,Male,White,3,5
6108c32fe7d5ac1ea4268ebe,1,28,Female,White,2,3
61468a06c2fadbfdabc635d5,1,19,Female,White,2,4
60fe1952f39082cd493260b5,1,31,Female,White,4,4
628f93dc168e3004adcbebb8,1,39,Male,Mixed,3,3
62ede762f7dbff1461f1d432,1,24,Female,Black,4,4
5eb8aa2aea17ff80487ac965,1,50,Male,White,2,2
62912304efdf1d35bbe1b95a,1,23,Female,White,2,5
5f0df5a03845a80dfb809e2f,1,41,Male,White,2,3
611b38dea7f1754225fa39bf,1,22,Female,White,3,3
5d8de6eaafa2c40019f2375e,1,60,Female,White,0,5
5ed59cc9cd38db128b0aaed4,1,32,Male,White,4,4
5dedebd38b2932497a59e663,1,22,Male,White,4,4
6272c50e0f591ac1dc8c2e02,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,1,1
6234a93224a61094ce06a76f,1,28,Male,White,4,5
5aef97b09516fe00010959f4,1,29,Female,White,2,2
5bd4e20178065c000161f1a8,1,32,Female,White,4,4
61160189e88d439232bca89e,1,28,Male,White,1,3
60fd957e79d70d6be755ad8c,1,25,Female,White,3,4
57587b29713d8400061730e4,1,41,Female,DATA_EXPIRED,2,3
6040922c2b22f72aa3e92432,1,36,Female,White,3,5
62e04413fd91f451e42d558d,1,24,Female,Other,2,2
611276cd39c2179c678fca78,1,26,Female,Other,3,3
59c65eb83306be000195bb01,1,76,Male,White,2,4
6346c80dad82da684ce0a3df,1,23,Female,Asian,2,3
631e691dc9f0bf168957f449,1,21,Male,White,0,4
62e1d578657cd5107baebdcb,1,27,Female,White,1,2
60fef35575c913648f573049,1,23,Female,White,4,4
5e84ecf6ecf1c00c1b3a1e10,1,71,Male,White,2,3
5f2b2984d4179f53ee2cb499,1,38,Female,Black,2,4
5e237189f0b71e629c6efe62,1,52,Male,White,1,2
60da4f9aa1ced7efeecca18a,1,23,Female,Asian,3,3
5d617ba9364f9a0019f1dac3,1,36,Female,Asian,4,4
62b5beb2634df44537eb05c3,1,64,Female,White,2,5
5e649c198b69732234df7db8,1,55,Female,White,4,5
62853fe01fa0d21c4daacfcb,1,NA,NA,NA,1,4
62c788d0cd6dc75c2c3a8fc7,1,73,Male,White,3,3
6312b088bb7ef4cefa732314,1,26,Male,White,3,3
5e31c4596ef37a1ab34f4454,1,51,Female,White,4,4
5e8fb6ba9b5ff02b5150ab10,1,25,Male,White,4,4
615b89f05c6789f6c121026f,1,34,Female,White,2,5
5eb879035275547d0fcdd610,1,43,Male,Mixed,1,2
6046df92e1974f153fb14b48,1,32,Female,White,1,2
5a92e1eeb5e2110001c670f0,1,29,Female,White,3,4
5dd344dfe426bd35cbc374ea,1,27,Female,White,4,4
5d3130288e458600186e63c7,1,41,Female,White,4,4
5c61a77464fd2100010e09f7,1,27,Female,White,4,5
62e1dd539c30be080a2a8a15,1,25,Male,Mixed,4,4
60fd03a4eadb0e9943448a17,1,20,Female,White,4,4
5e0f69380fb798000a199566,1,43,Female,White,2,3
5e10f9d02d21857cd4d266b8,1,21,Female,Mixed,2,2
627b3ff37300aa333ec08823,1,28,Female,Asian,4,4
5ef04fa79a475604dcd8c489,1,24,Male,Asian,3,4
5ed081544e61f3163c036286,1,24,Female,White,4,4
63180ae1ae5d3ee3257d1e9e,1,23,Male,Mixed,3,3
5e9d05954fba2222b6c86d7b,1,25,Male,Asian,4,4
5865ecf6a7f6480001ed9791,1,40,Male,White,4,4
609ec5e8e5a3da020adefde8,1,32,Female,Black,0,0
6348679323d503de7c19359d,1,18,Prefer not to say,White,4,4
6150f61c540d7a89e9a214b1,1,46,Male,Asian,2,2
5f892287200bdc09b2e24488,1,29,Female,White,3,3
562e4469733ea00005163785,1,48,Male,White,4,4
5e8eab0540aaf41584d9b1b9,1,34,Female,White,3,3
6109f870da951a5858cd4402,1,22,Female,White,1,2
5987c93c5837f200016a98e0,1,35,Female,White,4,5
6361da4af70945e3fd1c980d,1,31,Male,White,1,2
5c5c75d6329ee20001083061,1,39,Male,White,4,4
5f13cd9693d2ed043a5e7c96,1,29,Male,White,3,3
5e2d295390840b3279624b90,1,71,Female,White,2,2
